iter	Passed	Remaining
735	10014	3592
736	10027	3578
737	10040	3564
738	10054	3551
739	10067	3537
740	10080	3523
741	10093	3509
742	10108	3496
743	10122	3483
744	10141	3471
745	10169	3462
746	10182	3448
747	10195	3434
748	10211	3422
749	10224	3408
750	10238	3394
751	10251	3380
752	10265	3367
753	10279	3353
754	10292	3339
755	10305	3326
756	10319	3312
757	10332	3298
758	10345	3285
759	10357	3270
760	10371	3257
761	10385	3243
762	10399	3230
763	10412	3216
764	10425	3202
765	10438	3188
766	10451	3174
767	10463	3160
768	10476	3146
769	10489	3133
770	10502	3119
771	10515	3105
772	10528	3091
773	10544	3078
774	10557	3064
775	10569	3050
776	10581	3036
777	10594	3023
778	10606	3009
779	10618	2995
780	10631	2981
781	10644	2967
782	10656	2953
783	10668	2939
784	10681	2925
785	10693	2911
786	10705	2897
787	10718	2883
788	10730	2869
789	10743	2855
790	10755	2841
791	10767	2827
792	10780	2814
793	10792	2800
794	10805	2786
795	10819	2772
796	10830	2758
797	10843	2744
798	10855	2730
799	10866	2716
800	10879	2702
801	10891	2688
802	10903	2674
803	10915	2661
804	10928	2647
805	10939	2633
806	10951	2619
807	10962	2605
808	10974	2591
809	10986	2577
810	10999	2563
811	11009	2549
812	11021	2535
813	11033	2521
814	11044	2507
815	11057	2493
816	11071	2479
817	11086	2466
818	11100	2453
819	11112	2439
820	11124	2425
821	11137	2411
822	11151	2398
823	11167	2385
824	11195	2374
825	11210	2361
826	11223	2347
827	11235	2334
828	11248	2320
829	11261	2306
830	11276	2293
831	11290	2279
832	11302	2265
833	11316	2252
834	11329	2238
835	11344	2225
836	11359	2212
837	11377	2199
838	11398	2187
839	11418	2174
840	11436	2162
841	11453	2149
842	11471	2136
843	11489	2123
844	11505	2110
845	11521	2097
846	11537	2084
847	11553	2070
848	11568	2057
849	11585	2044
850	11601	2031
851	11617	2018
852	11633	2004
853	11646	1991
854	11659	1977
855	11674	1963
856	11688	1950
857	11704	1937
858	11718	1923
859	11732	1909
860	11744	1896
861	11757	1882
862	11771	1868
863	11784	1854
864	11796	1841
865	11808	1827
866	11821	1813
867	11835	1799
868	11847	1786
869	11860	1772
870	11873	1758
871	11885	1744
872	11896	1730
873	11910	1717
874	11921	1703
875	11934	1689
876	11946	1675
877	11959	1661
878	11979	1649
879	11992	1635
880	12005	1621
881	12018	1607
882	12031	1594
883	12044	1580
884	12058	1566
885	12071	1553
886	12084	1539
887	12097	1525
888	12145	1516
889	12167	1503
890	12184	1490
891	12227	1480
892	12264	1469
893	12282	1456
894	12297	1442
895	12311	1428
896	12327	1415
897	12343	1402
898	12357	1388
899	12369	1374
900	12385	1360
901	12399	1347
902	12413	1333
903	12425	1319
904	12438	1305
905	12451	1291
906	12464	1278
907	12477	1264
908	12490	1250
909	12503	1236
910	12516	1222
911	12530	1209
912	12543	1195
913	12557	1181
914	12570	1167
915	12583	1153
916	12596	1140
917	12610	1126
918	12626	1112
919	12639	1099
920	12652	1085
921	12667	1071
922	12679	1057
923	12694	1044
924	12706	1030
925	12720	1016
926	12734	1002
927	12747	989
928	12761	975
929	12774	961
930	12788	947
931	12803	934
932	12820	920
933	12834	906
934	12848	893
935	12865	879
936	12879	865
937	12898	852
938	12912	838
939	12930	825
940	12945	811
941	12962	798
942	12978	784
943	12993	770
944	13011	757
945	13031	743
946	13047	730
947	13063	716
948	13078	702
949	13092	689
950	13109	675
951	13123	661
952	13137	647
953	13152	634
954	13165	620
955	13179	606
956	13194	592
957	13211	579
958	13224	565
959	13237	551
960	13257	538
961	13291	525
962	13306	511
963	13321	497
964	13336	483
965	13352	469
966	13365	456
967	13380	442
968	13394	428
969	13408	414
970	13422	400
971	13438	387
972	13453	373
973	13470	359
974	13483	345
975	13496	331
976	13508	318
977	13522	304
978	13534	290
979	13547	276
980	13560	262
981	13572	248
982	13585	234
983	13598	221
984	13611	207
985	13623	193
986	13635	179
987	13647	165
988	13660	151
989	13673	138
990	13685	124
991	13698	110
992	13711	96
993	13722	82
994	13735	69
995	13748	55
996	13759	41
997	13770	27
998	13784	13
999	13795	0
